,0
0,bullet shell
1,move back
2,intelligence agency
3,intelligence official
4,top award
5,local government
6,sexual harassment
7,sign petition
8,fact check
9,immigrant activist
10,
11,football league
12,confirmation hearing
13,post message
14,student loan
15,oppressive heat
16,elude prosecution
17,oppressive regime
18,previous estimate
19,
20,insurance giant
21,strong gust
22,side effect
23,stop short
24,travel solo
25,sporting event
26,fossil fuel
27,lift sanctions
28,impose sanctions
29,send email
30,tread water
31,come back
32,celebrity magazine
33,light bulb
34,
35,take place
36,spa vacation
37,urban getaway
38,psychiatric patient
39,head injury
40,internet spoof
41,make fun
42,terrorist attack
43,gender gap
44,police investigator
45,business executive
46,police official
47,
48,pay attention
49,pay bills
50,intelligence report
51,news network
52,industry lobbyist
53,medical problem
54,memorable moment
55,contemporary art
56,city official
57,political party
58,get ready
59,fighter jet
60,violent riot
61,surprise verdict
62,personal life
63,business strategy
64,full day
65,full schedule
66,news media
67,constitutional scholar
68,congressional leader
